comment,rating,bbq_id,user_id
"The bottom vent doesn't stay close to the frame, so hot coals always drip out. When assembling, when you tighten the screws, porcelain comes off and becomes scalpel-sharp shards of glass. It is the right size for 2 people. It is as small as a portable one, but not really small enough to be portable.",2,15,1
If all you want is a basic BBQ and replace it every 2 yrs then this is fit for purpose. But what do you expect at this price. Nice area to cook on.,2,16,2
"Better than expected. Assembly is not 5 minutes, but not difficult if you have IQ bigger than a lettuce's. Instructions very good. Used it twice without problem, construction and feeling is sturdy. Left it out for a few weeks totally exposed to weather conditions without problems. Very pleased",3,1,3
"Despatched in good time and assembling was quite easy. The finished product seems solid and robust and good value,unfortunately the weather has not been good enough for me to use yet.",4,2,4
"Some parts were missing, The lid handle,some assembly screws which was quite disappointing as kids were looking forward to having a barbecue that weekend. I couldn’t return because kids ripped package.",1,3,5
Took ages to assemble as instructions were terrible and pictures did not match the product.,1,4,6
"Bigger than expected and plenty of cooking space just make sure it's on an even surface, I stand mine in 2 paving slabs, it's a good buy",4,5,7
Great lik BBQ for my small family,5,6,8
Great bbq!!!! Easy to use !!!,5,7,9
really very good in all respects.i assembled it in 90 mins whilst sat in a wheelchair. tested it and it performed well.thanks.,5,8,10
"This is the worst product i have ever bought from Amazon. Very cheaply made. material is awfully thin. one handle is missing. very unstable after assembled. If you pay 20 eu more, you could buy a decent one in shop. even with this price you can buy a much much better one in lidl.",1,9,1
"BAD…Very bad quality, short height, if I could get it for free I wouldn’t even take it.",1,10,2
Be carful not to over tighten the legs or it will colapse,3,11,3
"Easy to assemble, It took 20 mins with my 12 and 9 year old children.",4,12,4
Holes cut in wrong places and unable to assemble. Definitely look elsewhere!,2,13,5
Went to put it together today and screws extra missing so unable to put together.,1,14,6
lid handle broke on first usage. Metal cracked upon assembly. Rust already appearing. Spoke to seller and refunded me £4. Buy a disposable one or a cheaper version from a local store instead.,3,15,7
Very nice product. Excellent quality,4,16,8
Cooked our meat beautifully,5,7,9
"I like it, very good",5,2,10
Great little bbq for small garden's .,3,3,1
What do you want more for this price?!,3,4,2
Really poor quality item. Very thin. Unlikely to last long at all. Wobbly wheel. If you're above 5ft2 you're likely to get backache as this thing is tiny. Very disappointed.,3,5,3
For the money it's a great BBQ,4,6,4
